Kialakítás,SIM kártya típusa,Processzor típusa,Processzormagok száma,Processzor sebessége,RAM,Belső memória mérete,Memória bővíthető,URL,Operációs rendszer,Memóriakártya típusa,Kijelzők száma,Kijelző mérete,Kijelző felbontása,Kijelző technológia
Összecsukható,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 3GPU: Adreno 750,8 magos,3.39 GHz,12 GB,1000 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-z-fold6-5g-1tb-12gb-ram-dual-sm-f956b-p1102673305/#termek-leiras,,,,,,
Összecsukható,nano-SIM,SoC/CPU: Qualcomm Snapdragon 8+ Gen 1GPU: Adreno 730,8 magos,3.19 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-z-fold4-5g-512gb-12gb-ram-dual-f936-p841833195/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Google Tensor G4GPU: Mali-G715 MC7,8 magos,3.1 GHz,16 GB,1000 GB,,https://www.arukereso.hu/mobiltelefon-c3277/google/pixel-9-pro-xl-5g-1tb-16gb-ram-dual-p1114774993/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A18 Pro,6 magos,4.04 GHz,8 GB,1000 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-16-pro-max-1tb-p1121765629/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A18 Pro,6 magos,4.04 GHz,8 GB,1000 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-16-pro-1tb-p1121764885/#termek-leiras,,,,,,
Összecsukható,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 2GPU: Adreno 740,8 magos,3.36 GHz,12 GB,1000 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-z-fold5-5g-1tb-12gb-ram-dual-sm-f946b-p982757541/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 EliteGPU: Adreno 830,8 magos,4.47 GHz,12 GB,1000 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s25-ultra-5g-1tb-12gb-ram-dual-sm-s938-p1170025330/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A18 Pro,6 magos,4.04 GHz,8 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-16-pro-max-512gb-p1121765542/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: HiSilicon Kirin 9010GPU: Maleoon 910,8 magos,2.3 GHz,16 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/huawei/pura-70-ultra-5g-512gb-16gb-ram-dual-p1074162478/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A18,6 magos,,8 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-16-plus-512gb-p1121764516/#termek-leiras,iOS,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A18 Pro,6 magos,4.04 GHz,8 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-16-pro-512gb-p1121764804/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 3GPU: Adreno 750,8 magos,3.39 GHz,12 GB,1000 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s24-ultra-5g-1tb-12gb-ram-dual-sm-s928b-p1038738886/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A17 Pro,6 magos,3.78 GHz,8 GB,1000 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-15-pro-max-1tb-p996937321/#termek-leiras,,,,,,
Összecsukható,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 3GPU: Adreno 750,8 magos,3.39 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-z-fold6-5g-512gb-12gb-ram-dual-sm-f956b-p1102673284/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A17 Pro,6 magos,3.78 GHz,8 GB,1000 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-15-pro-1tb-p996937087/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A17 Pro,6 magos,3.78 GHz,8 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-15-pro-512gb-p996937045/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 3GPU: Adreno 750,8 magos,3.3 GHz,16 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/asus/rog-phone-8-pro-5g-512gb-16gb-ram-dual-p1038216301/#termek-leiras,,,,,,
Összecsukható,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 3GPU: Adreno 750,8 magos,3.39 GHz,12 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-z-fold6-5g-256gb-12gb-ram-dual-sm-f956b-p1102673215/#termek-leiras,,,,,,
