flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.delay,arrival.scheduled,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,flight.codeshared
29/12/2024,scheduled,,,Ngurah Rai International,Asia/Makassar,DPS,WADD,I,,,2024-12-29T00:55:00+00:00,2024-12-29T00:55:00+00:00,,,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,1,,,,2024-12-29T04:45:00+00:00,2024-12-29T04:45:00+00:00,,,,Garuda Indonesia,GA,GIA,9139,GA9139,GIA9139,philippine airlines,pr,pal,538,pr538,pal538,
29/12/2024,scheduled,,,Ngurah Rai International,Asia/Makassar,DPS,WADD,I,3,,2024-12-29T00:30:00+00:00,2024-12-29T00:30:00+00:00,,,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,,,,2024-12-29T06:05:00+00:00,2024-12-29T06:05:00+00:00,,,,Garuda Indonesia,GA,GIA,9725,GA9725,GIA9725,xiamen airlines,mf,cxa,892,mf892,cxa892,
29/12/2024,scheduled,,,Kita Kyushu,Asia/Tokyo,KKJ,RJFR,,,,2024-12-29T01:40:00+00:00,2024-12-29T01:40:00+00:00,,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,,,,2024-12-29T03:15:00+00:00,2024-12-29T03:15:00+00:00,,,,Spring Airlines Japan,IJ,SJO,444,IJ444,SJO444,,,,,,,
29/12/2024,scheduled,,,Don Muang,Asia/Bangkok,DMK,VTBD,1,,,2024-12-29T02:30:00+00:00,2024-12-29T02:30:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,1,,,,2024-12-29T10:05:00+00:00,2024-12-29T10:05:00+00:00,,,,AirAsia X,D7,XAX,700,D7700,XAX700,,,,,,,
29/12/2024,scheduled,,,Beijing Daxing International Airport,8,PKX,ZBAD,,,,2024-12-29T01:05:00+00:00,2024-12-29T01:05:00+00:00,,,,New Ulaanbaator International Airport,,UBN,ZMCK,,,,,2024-12-29T03:35:00+00:00,2024-12-29T03:35:00+00:00,,,,Hunnu Air,MR,MML,802,MR802,MML802,,,,,,,
29/12/2024,scheduled,,,Beijing Daxing International Airport,8,PKX,ZBAD,,E98,,2024-12-29T01:05:00+00:00,2024-12-29T01:05:00+00:00,,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,1,,8,,2024-12-29T15:25:00+00:00,2024-12-29T15:25:00+00:00,,,,China Southern Airlines,CZ,CSN,5025,CZ5025,CSN5025,,,,,,,
29/12/2024,scheduled,,,Beijing Daxing International Airport,8,PKX,ZBAD,,E93,,2024-12-29T00:15:00+00:00,2024-12-29T00:15:00+00:00,,,,Kota-Kinabalu International Airport,Asia/Kuching,BKI,WBKK,1,,,,2024-12-29T05:40:00+00:00,2024-12-29T05:40:00+00:00,,,,AirAsia,AK,AXM,1561,AK1561,AXM1561,,,,,,,
29/12/2024,scheduled,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,,,,2024-12-29T01:10:00+00:00,2024-12-29T01:10:00+00:00,,,,Nanjing Lukou International Airport,Asia/Shanghai,NKG,ZSNJ,2,,,,2024-12-29T02:50:00+00:00,2024-12-29T02:50:00+00:00,,,,SF Airlines,O3,CSS,7117,O37117,CSS7117,,,,,,,
29/12/2024,scheduled,,,Jinjiang,Asia/Shanghai,JJN,ZSQZ,,,,2024-12-29T00:05:00+00:00,2024-12-29T00:05:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,,,2024-12-29T01:25:00+00:00,2024-12-29T01:25:00+00:00,,,,SF Airlines,O3,CSS,7067,O37067,CSS7067,,,,,,,
29/12/2024,cancelled,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,,,,2024-12-29T01:05:00+00:00,2024-12-29T01:05:00+00:00,,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,,2024-12-29T03:05:00+00:00,2024-12-29T03:05:00+00:00,,,,SF Airlines,O3,CSS,7223,O37223,CSS7223,,,,,,,
29/12/2024,scheduled,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,,,,2024-12-29T01:00:00+00:00,2024-12-29T01:00:00+00:00,,,,Tianjin Binhai International,Asia/Shanghai,TSN,ZBTJ,2,,,,2024-12-29T03:15:00+00:00,2024-12-29T03:15:00+00:00,,,,Suparna Airlines,Y8,YZR,7945,Y87945,YZR7945,,,,,,,
29/12/2024,scheduled,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,4,470,,2024-12-29T01:00:00+00:00,2024-12-29T01:00:00+00:00,,,,Leonardo Da Vinci (Fiumicino),Europe/Rome,FCO,LIRF,3,,10,,2024-12-29T07:30:00+00:00,2024-12-29T07:30:00+00:00,,,,Air China LTD,CA,CCA,731,CA731,CCA731,,,,,,,
29/12/2024,scheduled,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,,,,2024-12-29T00:40:00+00:00,2024-12-29T00:40:00+00:00,,,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,1,,,,2024-12-29T05:35:00+00:00,2024-12-29T05:35:00+00:00,,,,YTO Cargo Airlines,YG,HYT,9041,YG9041,HYT9041,,,,,,,
29/12/2024,scheduled,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,,,,2024-12-29T00:30:00+00:00,2024-12-29T00:30:00+00:00,,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,2,,,,2024-12-29T02:20:00+00:00,2024-12-29T02:20:00+00:00,,,,SF Airlines,O3,CSS,7120,O37120,CSS7120,,,,,,,
29/12/2024,scheduled,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,,,,2024-12-29T00:10:00+00:00,2024-12-29T00:10:00+00:00,,,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,3,,,,2024-12-29T03:30:00+00:00,2024-12-29T03:30:00+00:00,,,,YTO Cargo Airlines,YG,HYT,9081,YG9081,HYT9081,,,,,,,
