data.id,data.iata_type,data.airplane_id,data.airline_iata_code,data.iata_code_long,data.iata_code_short,data.airline_icao_code,data.construction_number,data.delivery_date,data.engines_count,data.engines_type,data.first_flight_date,data.icao_code_hex,data.line_number,data.model_code,data.registration_number,data.test_registration_number,data.plane_age,data.plane_class,data.model_name,data.plane_owner,data.plane_series,data.plane_status,data.production_line,data.registration_date,data.rollout_date
4258201,"A319-100",16,"1B","A319","319","","3139",2007-06-18 00:00:00.000,2,"JET","2007-06-03T22:00:00.000Z","451E91",,"A319-112","LZ-AOA","D-AVXO",10,1,"A319","","112","active","Airbus A318/A319/A32","2009-05-22T22:00:00.000Z","2000-07-04T22:00:00.000Z"
4258202,"A330-200",17,"1B","A332","332","","255",1999-02-19 00:00:00.000,2,"JET","1999-01-14T23:00:00.000Z","451DA0",,"A330-223","LZ-AWA","",18,,"A330","International Lease Finance Corp","223","active","Airbus A330/A340","2014-06-27T22:00:00.000Z","0000-00-00"
4258203,"A320-200",18,"1B","A320","320","","0305",1992-05-13 00:00:00.000,2,"JET","1992-02-17T23:00:00.000Z","451E87",,"A320-211","LZ-BHE","F-WWDE",25,,"A320","GPA Finance Ltd","211","inactive","Airbus A318/A319/A32","2008-02-02T23:00:00.000Z","0000-00-00"
4258204,"A320-200",19,"1B","A320","320","","1087",1999-10-19 00:00:00.000,2,"JET","1999-09-08T22:00:00.000Z","451E96",,"A320-214","LZ-BHF","F-WWIY",18,,"A320","International Lease Finance Corp","214","inactive","Airbus A318/A319/A32","2011-06-03T22:00:00.000Z","0000-00-00"
4258205,"A320-200",20,"1B","A320","320","","2844",2006-07-28 00:00:00.000,2,"JET","2006-07-03T22:00:00.000Z","451D87",,"A320-232","LZ-BHG","F-WWIH",11,,"A320","Celestial Aviation Trading 9 Ltd","232","inactive","Airbus A318/A319/A32","2012-07-29T22:00:00.000Z","2006-06-23T22:00:00.000Z"
4258206,"A320-200",21,"1B","A320","320","","3125",2007-05-16 00:00:00.000,2,"JET","2007-04-05T22:00:00.000Z","451DB0",,"A320-232","LZ-BHI","F-WWBF",10,,"A320","","232","active","Airbus A318/A319/A32","2015-06-04T22:00:00.000Z","2000-07-04T22:00:00.000Z"
4258207,"B727-100",22,"1I","C680","72X","","680-0155",2007-09-25 00:00:00.000,2,"JET","","A4003D",,"B727-021(F)","N357QS","",,,"680","Bank of Utah Trustee","","inactive","Boeing 727","2007-02-26T23:00:00.000Z",""
4258208,"B727-100",23,"1I","C680","72X","","680-0126",2007-03-30 00:00:00.000,2,"JET","","A407AB",,"B727-021(F)","N359QS","",,,"680","NJI Sales INC","","inactive","Boeing 727","2000-07-04T22:00:00.000Z",""
4258217,"CL-600-2B19",32,"2B","CRJ2","CR2","","8099",,2,"JET","","1506A0",,"Challenger 850","RA-67232","",,,"Regional-Jet","","850","active","Bombardier CRJ-100/2","2000-11-06T23:00:00.000Z",""
4258218,"CL-600-2B19",33,"2B","CRJ2","CR2","","7802",2003-07-11 00:00:00.000,2,"JET","2000-03-05T23:00:00.000Z","42497A",,"CRJ200ER","VQ-BHF","",17,,"Regional-Jet","","200ER","inactive","Bombardier CRJ-100/2","2010-03-25T23:00:00.000Z","2000-03-05T23:00:00.000Z"
