data.id,data.gmt,data.airport_id,data.iata_code,data.city_iata_code,data.icao_code,data.country_iso2,data.geoname_id,data.latitude,data.longitude,data.airport_name,data.country_name,data.phone_number,data.timezone
2304407,-10,1,"AAA","AAA","NTGA","PF",6947726,-17.05,-145.41667,"Anaa","French Polynesia","","Pacific/Tahiti"
2304408,10,2,"AAB","AAB","YARY","AU",7730796,-26.7,141.04167,"Arrabury","Australia","","Australia/Brisbane"
2304409,2,3,"AAC","AAC","HEAR","EG",6297289,31.133333,33.75,"El Arish International Airport","Egypt","","Africa/Cairo"
2304410,1,4,"AAE","AAE","DABB","DZ",2570559,36.821392,7.811857,"Les Salines","","","Africa/Algiers"
2304411,-5,5,"AAF","AAF","KAAF","US",4146153,29.733334,-84.98333,"Apalachicola Regional","United States","","America/New_York"
2304412,-3,6,"AAG","AAG","SSYA","BR",3471795,-24.103611,-49.79,"Arapoti","Brazil","","America/Sao_Paulo"
2304413,1,7,"AAH","AAH","EDKA","DE",3207669,50.75,6.133333,"Aachen/Merzbruck","Germany","","Europe/Berlin"
2304414,-3,8,"AAI","AAI","SWRA","BR",7668483,-12.916667,-46.933334,"Arraias","Brazil","","America/Araguaina"
2304416,12,10,"AAK","AAK","NGUK","KI",7521791,0.166667,173.58333,"Aranuka","Kiribati","","Pacific/Tarawa"
2304417,1,11,"AAL","AAL","EKYT","DK",2624887,57.08655,9.872241,"Aalborg","Denmark","","Europe/Copenhagen"
2304418,2,12,"AAM","AAM","FAMD","ZA",7668229,-24.8,31.533333,"Mala Mala","South Africa","","Africa/Johannesburg"
2304419,4,13,"AAN","AAN","OMAL","AE",6300095,24.260231,55.616627,"Al Ain","United Arab Emirates","","Asia/Dubai"
2304421,3,15,"AAQ","AAQ","URKA","RU",6300989,44.9,37.316666,"Anapa","Russia","","Europe/Moscow"
2304422,1,16,"AAR","AAR","EKAH","DK",2611665,56.30823,10.626351,"Aarhus Airport","Denmark","","Europe/Copenhagen"
2304424,8,18,"AAT","AAT","ZWAT","CN",7910421,47.750362,88.08444,"Altay","China","","Asia/Shanghai"
2304428,-3,22,"AAX","AAX","SBAX","BR",7668431,-19.568056,-46.92917,"Araxa","Brazil","","America/Sao_Paulo"
2304429,3,23,"AAY","AAY","OYGD","YE",7668412,16.19596,52.173256,"Al Ghaydah","Yemen","","Asia/Aden"
2304430,-6,24,"AAZ","AAZ","MGQZ","GT",6299804,14.87,-91.5,"Quetzaltenango","Guatemala","","America/Guatemala"
2304431,7,25,"ABA","ABA","UNAA","RU",6300982,53.716667,91.5,"Abakan","Russia","","Asia/Krasnoyarsk"
2304432,1,26,"ABB","ABB","DNAS","NG",7668214,6.203333,6.65888,"Asaba International","Nigeria","","Africa/Lagos"
2304433,1,27,"ABC","ABC","LEAB","ES",6299323,38.948334,-1.863333,"Los Llanos","Spain","","Europe/Madrid"
2304434,3,28,"ABD","ABD","OIAA","IR",6300034,30.363905,48.226597,"Abadan","Iran","","Asia/Tehran"
2304435,-5,29,"ABE","ABE","KABE","US",5200013,40.651573,-75.434364,"Lehigh Valley International","United States","","America/New_York"
2304438,10,32,"ABH","ABH","YAPH","AU",7668679,-23.65,146.63333,"Alpha","Australia","","Australia/Brisbane"
2304439,-6,33,"ABI","ABI","KABI","US",4669647,32.409443,-99.679726,"Municipal","United States","","America/Chicago"
2304440,,34,"ABJ","ABJ","DIAP","CI",6296433,5.254879,-3.933015,"Felix Houphouet Boigny","","","Africa/Abidjan"
2304441,3,35,"ABK","ABK","HADK","ET",6297274,6.733889,44.26611,"Kabri Dar","Ethiopia","","Africa/Addis_Ababa"
2304442,-9,36,"ABL","ABL","PAFM","US",5879298,67.0875,-157.84584,"Ambler","United States","","America/Anchorage"
2304443,10,37,"ABM","ABM","YBAM","AU",7730800,-10.942619,142.45033,"Bamaga Injinoo","Australia","","Australia/Brisbane"
