data.id,data.gmt,data.city_id,data.iata_code,data.country_iso2,data.geoname_id,data.latitude,data.longitude,data.city_name,data.timezone
2098881,-10,1,"AAA","PF",,-17.05,-145.41667,"Anaa","Pacific/Tahiti"
2098882,10,2,"AAB","AU",,-26.7,141.04167,"Arrabury","Australia/Brisbane"
2098883,2,3,"AAC","EG",361546,31.133333,33.75,"El Arish","Africa/Cairo"
2098884,1,4,"AAE","DZ",2506999,36.821392,7.811857,"Annaba","Africa/Algiers"
2098885,-6,5,"AAF","US",4167695,29.733334,-84.98333,"Apalachicola","America/Chicago"
2098886,-3,6,"AAG","BR",3471795,-24.103611,-49.79,"Arapoti","America/Sao_Paulo"
2098887,1,7,"AAH","DE",3247449,50.775438,6.08151,"Aachen","Europe/Berlin"
2098888,-3,8,"AAI","BR",,-12.916667,-46.933334,"Arraias","America/Araguaina"
2098889,-3,9,"AAJ","SR",,3.9,-55.36667,"Awaradam","America/Paramaribo"
2098890,12,10,"AAK","KI",,0.166667,173.58333,"Aranuka","Pacific/Tarawa"
2098891,1,11,"AAL","DK",2624886,57.028811,9.917771,"Aalborg","Europe/Copenhagen"
2098892,2,12,"AAM","ZA",954955,-24.8,31.533333,"Mala Mala","Africa/Johannesburg"
2098893,4,13,"AAN","AE",292913,24.2075,55.744722,"Al Ain","Asia/Dubai"
2098894,-4,14,"AAO","VE",3486270,9.431944,-64.46389,"Anaco","America/Caracas"
2098895,3,15,"AAQ","RU",582182,44.9,37.316666,"Anapa","Europe/Moscow"
2098896,1,16,"AAR","DK",2611664,56.162939,10.203921,"Aarhus","Europe/Copenhagen"
2098897,9,17,"AAS","ID",,-3.916667,139.25,"Apalapsili","Asia/Jayapura"
2098898,8,18,"AAT","CN",1529651,47.750362,88.08444,"Altay","Asia/Shanghai"
2098899,13,19,"AAU","WS",4035092,-13.458333,-172.6,"Asau","Pacific/Apia"
2098900,8,20,"AAV","PH",,6.333333,124.76667,"Surallah","Asia/Manila"
2098901,5,21,"AAW","PK",,34.2,73.25,"Abbottabad","Asia/Karachi"
2098902,-3,22,"AAX","BR",3471691,-19.568056,-46.92917,"Araxa","America/Sao_Paulo"
2098903,3,23,"AAY","YE",,16.19596,52.173256,"Al Ghaydah","Asia/Aden"
2098904,-6,24,"AAZ","GT",3599699,14.87,-91.5,"Quetzaltenango","America/Guatemala"
2098905,7,25,"ABA","RU",1512236,53.716667,91.5,"Abakan","Asia/Krasnoyarsk"
2098906,,26,"ABB","NG",2640729,51.666668,-1.283333,"Asaba","Europe/London"
2098907,1,27,"ABC","ES",2522258,38.997652,-1.86007,"Albacete","Europe/Madrid"
2098908,3,28,"ABD","IR",,30.363905,48.226597,"Abadan","Asia/Tehran"
2098909,-5,29,"ABE","US",5178127,40.651573,-75.434364,"Allentown","America/New_York"
2098910,12,30,"ABF","KI",,1.670833,173.30417,"Abaiang","Pacific/Tarawa"
2098911,10,31,"ABG","AU",,-17.666668,143.2,"Abingdon","Australia/Brisbane"
2098912,10,32,"ABH","AU",,-23.65,146.63333,"Alpha","Australia/Brisbane"
2098913,-6,33,"ABI","US",4669635,32.448736,-99.733144,"Abilene","America/Chicago"
2098914,,34,"ABJ","CI",2293538,5.254879,-3.933015,"Abidjan","Africa/Abidjan"
2098915,3,35,"ABK","ET",,6.733889,44.26611,"Kabri Dar","Africa/Addis_Ababa"
2098916,-9,36,"ABL","US",,67.0875,-157.84584,"Ambler","America/Anchorage"
2098917,10,37,"ABM","AU",2177023,-10.942619,142.45033,"Bamaga","Australia/Brisbane"
2098918,-3,38,"ABN","SR",3384792,5.5,-54.083332,"Albina","America/Paramaribo"
2098919,,39,"ABO","CI",,5.433333,-3.216667,"Aboisso","Africa/Abidjan"
2098920,10,40,"ABP","PG",,-6.066667,141.1,"Atkamba","Pacific/Port_Moresby"
2098921,-7,41,"ABQ","US",5454711,35.049625,-106.617195,"Albuquerque","America/Denver"
2098922,-6,42,"ABR","US",5225857,45.4525,-98.42611,"Aberdeen","America/Chicago"
2098923,2,43,"ABS","EG",362041,22.367567,31.609774,"Abu Simbel","Africa/Cairo"
2098924,3,44,"ABT","SA",,20.29401,41.64002,"Al-Baha","Asia/Riyadh"
2098925,8,45,"ABU","ID",,-9.133333,124.88333,"Atambua","Asia/Makassar"
2098926,1,46,"ABV","NG",,9.004614,7.270447,"Abuja","Africa/Lagos"
2098927,10,47,"ABW","PG",,-10.183333,148.7,"Abau","Pacific/Port_Moresby"
2098928,10,48,"ABX","AU",2178174,-36.069626,146.95453,"Albury","Australia/Sydney"
2098929,-5,49,"ABY","US",4179320,31.578507,-84.155741,"Albany","America/New_York"
2098930,,50,"ABZ","GB",2657832,57.147492,-2.095397,"Aberdeen","Europe/London"
2098931,-6,51,"ACA","MX",3533462,16.762403,-99.75459,"Acapulco","America/Mexico_City"
2098932,-5,52,"ACB","US",4985583,44.983334,-85.21667,"Bellaire","America/Detroit"
