data.flight_date,data.flight_status,data.departure.airport,data.departure.timezone,data.departure.iata,data.departure.icao,data.departure.terminal,data.departure.gate,data.departure.delay,data.departure.scheduled,data.departure.estimated,data.departure.actual,data.departure.estimated_runway,data.departure.actual_runway,data.arrival.airport,data.arrival.timezone,data.arrival.iata,data.arrival.icao,data.arrival.terminal,data.arrival.gate,data.arrival.baggage,data.arrival.delay,data.arrival.scheduled,data.arrival.estimated,data.arrival.actual,data.arrival.estimated_runway,data.arrival.actual_runway,data.airline.name,data.airline.iata,data.airline.icao,data.flight.number,data.flight.iata,data.flight.icao,airline_name,airline_iata,airline_icao,flight_number,flight_iata,flight_icao,registration,iata,icao,icao24,updated,latitude,longitude,altitude,direction,speed_horizontal,speed_vertical,is_ground
2025-01-22 00:00:00.000,"landed","Gold Coast (coolangatta)","Australia/Brisbane","OOL","YBCG","","",,2025-01-22 10:00:00.000,2025-01-22 10:00:00.000,2025-01-21 12:44:00.000,2025-01-21 12:44:00.000,2025-01-21 12:44:00.000,"Gold Coast (coolangatta)","Australia/Brisbane","OOL","YBCG","1","","",,2025-01-21 15:00:00.000,2025-01-21 15:00:00.000,2025-01-21 13:12:00.000,2025-01-21 13:12:00.000,2025-01-21 13:12:00.000,"empty","","",,"","","","","","","","","","","","","","","","","","","",""
2025-01-22 00:00:00.000,"scheduled","Darwin","Australia/Darwin","DRW","YPDN","","",,2025-01-22 01:25:00.000,2025-01-22 01:25:00.000,,,,"Brisbane International","Australia/Brisbane","BNE","YBBN","D","","",,2025-01-22 05:45:00.000,2025-01-22 05:45:00.000,,,,"Jetstar","JQ","JST",673,"JQ673","JST673","","","","","","","","","","","","","","","","","",""
2025-01-22 00:00:00.000,"scheduled","Darwin","Australia/Darwin","DRW","YPDN","","",,2025-01-22 01:25:00.000,2025-01-22 01:25:00.000,,,,"Brisbane International","Australia/Brisbane","BNE","YBBN","D","","",,2025-01-22 05:45:00.000,2025-01-22 05:45:00.000,,,,"Qantas","QF","QFA",5673,"QF5673","QFA5673","jetstar","jq","jst","673","jq673","jst673","","","","","","","","","","","",""
2025-01-22 00:00:00.000,"scheduled","Darwin","Australia/Darwin","DRW","YPDN","","",,2025-01-22 01:10:00.000,2025-01-22 01:10:00.000,,,,"Sydney Kingsford Smith Airport","Australia/Sydney","SYD","YSSY","2","A49","D4",,2025-01-22 07:10:00.000,2025-01-22 07:10:00.000,,,,"Jetstar","JQ","JST",671,"JQ671","JST671","","","","","","","","","","","","","","","","","",""
2025-01-22 00:00:00.000,"scheduled","Auckland International","Pacific/Auckland","AKL","NZAA","I","",,2025-01-22 02:40:00.000,2025-01-22 02:40:00.000,,,,"Kuala Lumpur International Airport (klia)","Asia/Kuala_Lumpur","KUL","WMKK","1","","",,2025-01-22 08:50:00.000,2025-01-22 08:50:00.000,,,,"Turkish Airlines","TK","THY",4802,"TK4802","THY4802","malaysia airlines","mh","mas","132","mh132","mas132","","","","","","","","","","","",""
2025-01-22 00:00:00.000,"scheduled","Auckland International","Pacific/Auckland","AKL","NZAA","I","",,2025-01-22 02:40:00.000,2025-01-22 02:40:00.000,,,,"Kuala Lumpur International Airport (klia)","Asia/Kuala_Lumpur","KUL","WMKK","1","","",,2025-01-22 08:50:00.000,2025-01-22 08:50:00.000,,,,"Qatar Airways","QR","QTR",4970,"QR4970","QTR4970","malaysia airlines","mh","mas","132","mh132","mas132","","","","","","","","","","","",""
2025-01-22 00:00:00.000,"scheduled","Auckland International","Pacific/Auckland","AKL","NZAA","I","",,2025-01-22 02:40:00.000,2025-01-22 02:40:00.000,,,,"Kuala Lumpur International Airport (klia)","Asia/Kuala_Lumpur","KUL","WMKK","1","","",,2025-01-22 08:50:00.000,2025-01-22 08:50:00.000,,,,"KLM","KL","KLM",4096,"KL4096","KLM4096","malaysia airlines","mh","mas","132","mh132","mas132","","","","","","","","","","","",""
2025-01-22 00:00:00.000,"scheduled","Auckland International","Pacific/Auckland","AKL","NZAA","I","",,2025-01-22 02:40:00.000,2025-01-22 02:40:00.000,,,,"Kuala Lumpur International Airport (klia)","Asia/Kuala_Lumpur","KUL","WMKK","1","","",,2025-01-22 08:50:00.000,2025-01-22 08:50:00.000,,,,"Firefly","FY","FFM",7170,"FY7170","FFM7170","malaysia airlines","mh","mas","132","mh132","mas132","","","","","","","","","","","",""
2025-01-22 00:00:00.000,"scheduled","Auckland International","Pacific/Auckland","AKL","NZAA","I","",,2025-01-22 02:40:00.000,2025-01-22 02:40:00.000,,,,"Kuala Lumpur International Airport (klia)","Asia/Kuala_Lumpur","KUL","WMKK","1","","",,2025-01-22 08:50:00.000,2025-01-22 08:50:00.000,,,,"Myanmar Airways International","8M","MMA",9588,"8M9588","MMA9588","malaysia airlines","mh","mas","132","mh132","mas132","","","","","","","","","","","",""
2025-01-22 00:00:00.000,"scheduled","Auckland International","Pacific/Auckland","AKL","NZAA","I","",50,2025-01-22 01:55:00.000,2025-01-22 01:55:00.000,,,,"Singapore Changi","Asia/Singapore","SIN","WSSS","","","",,2025-01-22 07:30:00.000,2025-01-22 07:30:00.000,,,,"Singapore Airlines","SQ","SIA",282,"SQ282","SIA282","","","","","","","","","","","","","","","","","",""
