Time,Title,Memory,Color,Status,Warranty,Price,Link
2025-02-09_12,"Apple MacBook Pro 14″ 2023, M2 Pro 12 Cores, 16 GB, 19 core GPU",1 TB,Space Gray,Újszerű,2 év,1088990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-14-2023-m2-pro-12-cores-16-gb-19-core-gpu-1tb-space-gray/75269603/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Pro 16″ 2020, M1 Max 10 Cores, 32 GB, 32 core GPU",1 TB,Space Gray,Újszerű,2 év,823990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-16-2020-m1-max-10-cores-32-gb-32-core-gpu-1tb-space-gray/75268732/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Pro 16″ 2020, M1 Max 10 Cores, 32 GB, 32 core GPU",1 TB,Silver,Újszerű,2 év,823990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-16-2020-m1-max-10-cores-32-gb-32-core-gpu-1tb-silver/75268733/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Pro 16″ 2020, M1 Pro 10 Cores, 16 GB, 16 core GPU",1 TB,Silver,Újszerű,2 év,724990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-16-2020-m1-pro-10-cores-16-gb-16-core-gpu-1tb-silver/75268729/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Pro 14″ 2023, M2 Pro 10 Cores, 16 GB, 16 core GPU",512 GB,Space Gray,Újszerű,2 év,717990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-14-2023-m2-pro-10-cores-16-gb-16-core-gpu-512gb-space-gray/75268754/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Pro 14″ 2023, M2 Pro 10 Cores, 16 GB, 16 core GPU",512 GB,Silver,Újszerű,2 év,717990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-14-2023-m2-pro-10-cores-16-gb-16-core-gpu-512gb-silver/75268755/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Pro 16″ 2020, M1 Pro 10 Cores, 16 GB, 16 core GPU",512 GB,Space Gray,Újszerű,2 év,715990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-16-2020-m1-pro-10-cores-16-gb-16-core-gpu-512gb-space-gray/75268726/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Pro 16″ 2020, M1 Pro 10 Cores, 16 GB, 16 core GPU",512 GB,Silver,Újszerű,2 év,715990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-16-2020-m1-pro-10-cores-16-gb-16-core-gpu-512gb-silver/75268728/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Pro 16″ 2020, M1 Pro 10 Cores, 16 GB, 16 core GPU",1 TB,Space Gray,Nagyon jó,2 év,681990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-16-2020-m1-pro-10-cores-16-gb-16-core-gpu-1tb-space-gray/75268727/?shape=Nagyon%20j%C3%B3
2025-02-09_12,"Apple MacBook Pro 14″ 2020, M1 Pro 8 Cores, 16 GB, 14 core GPU",512 GB,Space Gray,Újszerű,2 év,523990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-14-2020-m1-pro-8-cores-16-gb-14-core-gpu-512gb-space-gray/75268716/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Pro 14″ 2020, M1 Pro 10 Cores, 16 GB, 16 core GPU",1 TB,Space Gray,Nagyon jó,2 év,522990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-14-2020-m1-pro-10-cores-16-gb-16-core-gpu-1tb-space-gray/75268720/?shape=Nagyon%20j%C3%B3
2025-02-09_12,"Apple MacBook Pro 14″ 2020, M1 Pro 10 Cores, 16 GB, 16 core GPU",512 GB,Space Gray,Jó,2 év,506990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-14-2020-m1-pro-10-cores-16-gb-16-core-gpu-512gb-space-gray/75269593/?shape=J%C3%B3
2025-02-09_12,"Apple MacBook Pro 14″ 2020, M1 Pro 8 Cores, 16 GB, 14 core GPU",512 GB,Silver,Nagyon jó,2 év,491990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-14-2020-m1-pro-8-cores-16-gb-14-core-gpu-512gb-silver/75268717/?shape=Nagyon%20j%C3%B3
2025-02-09_12,"Apple MacBook Pro 13″ 2022, M2 8 Cores, 8 GB, 10 core GPU",512 GB,Silver,Újszerű,2 év,472990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-2022-m2-8-cores-8-gb-10-core-gpu-512gb-silver/75269596/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Air 15″ 2023, M2 8 Cores, 8 GB, 10 core GPU",256 GB,Space Gray,Újszerű,2 év,408990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-air-15-2023-m2-8-cores-8-gb-10-core-gpu-256gb-space-gray/75268746/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Air 15″ 2023, M2 8 Cores, 8 GB, 10 core GPU",256 GB,Silver,Újszerű,2 év,408990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-air-15-2023-m2-8-cores-8-gb-10-core-gpu-256gb-silver/75268748/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Air 15″ 2023, M2 8 Cores, 8 GB, 10 core GPU",256 GB,Midnight,Újszerű,2 év,408990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-air-15-2023-m2-8-cores-8-gb-10-core-gpu-256gb-midnight/75268752/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Pro 13″ Touch Bar 2020, i7 2.3 GHz, 16 GB, Intel Iris Plus Graphics",1 TB,Space Gray,Újszerű,2 év,391990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-touch-bar-2020-i7-2-3-ghz-16-gb-intel-iris-plus-graphics-1tb-space-gray/75269606/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Pro 13″ Touch Bar 2020, i7 2.3 GHz, 32 GB, Intel Iris Plus Graphics",512 GB,Silver,Újszerű,2 év,373990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-touch-bar-2020-i7-2-3-ghz-32-gb-intel-iris-plus-graphics-512gb-silver/75269392/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Pro 13″ Touch Bar 2020, i7 2.3 GHz, 16 GB, Intel Iris Plus Graphics",512 GB,Silver,Újszerű,2 év,355990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-touch-bar-2020-i7-2-3-ghz-16-gb-intel-iris-plus-graphics-512gb-silver/75268705/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Pro 13″ 2022, M2 8 Cores, 8 GB, 10 core GPU",256 GB,Space Gray,Nagyon jó,2 év,351990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-2022-m2-8-cores-8-gb-10-core-gpu-256gb-space-gray/75269393/?shape=Nagyon%20j%C3%B3
2025-02-09_12,"Apple MacBook Air 13″ 2022, M2 8 Cores, 8 GB, 10 core GPU",256 GB,Space Gray,Újszerű,2 év,350990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-air-13-2022-m2-8-cores-8-gb-10-core-gpu-256gb-space-gray/75268738/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Air 13″ 2022, M2 8 Cores, 8 GB, 10 core GPU",256 GB,Silver,Újszerű,2 év,350990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-air-13-2022-m2-8-cores-8-gb-10-core-gpu-256gb-silver/75268739/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Air 13″ 2022, M2 8 Cores, 8 GB, 10 core GPU",256 GB,Starlight,Újszerű,2 év,350990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-air-13-2022-m2-8-cores-8-gb-10-core-gpu-256gb-starlight/75268740/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Air 13″ 2022, M2 8 Cores, 8 GB, 10 core GPU",256 GB,Midnight,Újszerű,2 év,350990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-air-13-2022-m2-8-cores-8-gb-10-core-gpu-256gb-midnight/75268741/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Pro 13″ Touch Bar 2020, i7 2.3 GHz, 32 GB, Intel Iris Plus Graphics",512 GB,Space Gray,Nagyon jó,2 év,350990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-touch-bar-2020-i7-2-3-ghz-32-gb-intel-iris-plus-graphics-512gb-space-gray/75269391/?shape=Nagyon%20j%C3%B3
2025-02-09_12,"Apple MacBook Pro 13″ Touch Bar 2020, i7 2.3 GHz, 16 GB, Intel Iris Plus Graphics",512 GB,Space Gray,Kiváló,2 év,344990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-touch-bar-2020-i7-2-3-ghz-16-gb-intel-iris-plus-graphics-512gb-space-gray/75268704/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,"Apple MacBook Pro 13″ Touch Bar 2019, i5 1.4 GHz, 16 GB, Iris Plus Graphics 645",512 GB,Space Gray,Újszerű,2 év,331990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-touch-bar-2019-i5-1-4-ghz-16-gb-iris-plus-graphics-645-512gb-space-gray/75269026/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Pro 13″ Touch Bar 2019, i7 2.8 GHz, 16 GB, Intel Iris Plus Graphics 655",512 GB,Space Gray,Újszerű,2 év,331990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-touch-bar-2019-i7-2-8-ghz-16-gb-intel-iris-plus-graphics-655-512gb-space-gray/75269150/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Pro 13″ 2020, M1 8 Cores, 8 GB, 8 core GPU",512 GB,Space Gray,Jó,2 év,326990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-2020-m1-8-cores-8-gb-8-core-gpu-512gb-space-gray/75268713/?shape=J%C3%B3
2025-02-09_12,"Apple MacBook Pro 13″ Touch Bar 2019, i5 1.4 GHz, 16 GB, Iris Plus Graphics 645",512 GB,Silver,Kiváló,2 év,321990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-touch-bar-2019-i5-1-4-ghz-16-gb-iris-plus-graphics-645-512gb-silver/75269028/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,"Apple MacBook Pro 13″ Touch Bar 2019, i7 2.8 GHz, 16 GB, Intel Iris Plus Graphics 655",1 TB,Silver,Jó,2 év,317990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-touch-bar-2019-i7-2-8-ghz-16-gb-intel-iris-plus-graphics-655-1tb-silver/75269153/?shape=J%C3%B3
2025-02-09_12,"Apple MacBook Pro 13″ Touch Bar 2020, i5 2 GHz, 16 GB, Intel Iris Plus Graphics",512 GB,Space Gray,Újszerű,2 év,307990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-touch-bar-2020-i5-2-ghz-16-gb-intel-iris-plus-graphics-512gb-space-gray/75268700/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Pro 13″ Touch Bar 2019, i5 2.4 GHz, 16 GB, Intel Iris Plus Graphics 655",512 GB,Space Gray,Kiváló,2 év,306990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-touch-bar-2019-i5-2-4-ghz-16-gb-intel-iris-plus-graphics-655-512gb-space-gray/75268986/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,"Apple MacBook Pro 14″ 2023, M2 Pro 12 Cores, 16 GB, 19 core GPU",1 TB,Space Gray,Újszerű,2 év,1088990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-14-2023-m2-pro-12-cores-16-gb-19-core-gpu-1tb-space-gray/75269603/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Pro 16″ 2020, M1 Max 10 Cores, 32 GB, 32 core GPU",1 TB,Space Gray,Újszerű,2 év,823990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-16-2020-m1-max-10-cores-32-gb-32-core-gpu-1tb-space-gray/75268732/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Pro 16″ 2020, M1 Max 10 Cores, 32 GB, 32 core GPU",1 TB,Silver,Újszerű,2 év,823990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-16-2020-m1-max-10-cores-32-gb-32-core-gpu-1tb-silver/75268733/?shape=%C3%9Ajszer%C5%B1
