Time,Title,GPS,Cellular,Color,Size,Status,Warranty,Price,Link
2025-02-09_12,Apple Watch Ultra 2,Yes,Yes,Titanium,49,Újszerű,2 év,259990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-ultra-2-2023-gps-cellular-titanium-49mm--titanium/75268971/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Ultra,Yes,Yes,Titanium,49,Újszerű,2 év,212990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-ultra-2022-gps-cellular-titanium-49mm--titanium/75268970/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 9,Yes,Yes,Red Aluminium,45,Újszerű,2 év,147990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-9-2023-gps-cellular-aluminium-45mm--red/75268960/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 9,Yes,Yes,Midnight Aluminium,45,Kiváló,2 év,142990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-9-2023-gps-cellular-aluminium-45mm--midnight/75268956/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,Apple Watch Series 9,Yes,No,Red Aluminium,45,Újszerű,2 év,127990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-9-2023-gps-aluminium-45mm--red/75268969/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 9,Yes,No,Midnight Aluminium,45,Kiváló,2 év,123990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-9-2023-gps-aluminium-45mm--midnight/75268965/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,Apple Watch Series 9,Yes,No,Silver Aluminium,45,Nagyon jó,2 év,111990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-9-2023-gps-aluminium-45mm--silver/75268967/?shape=Nagyon%20j%C3%B3
2025-02-09_12,Apple Watch Series 7,Yes,Yes,Graphite Stainless Steel,45,Újszerű,2 év,107990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-cellular-stainless-steel-45mm--graphite/75268911/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch SE,Yes,Yes,Silver Aluminium,44,Kiváló,2 év,98990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-se-2022-gps-cellular-aluminium-44mm--silver/75268856/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,Apple Watch Series 6,Yes,Yes,Space Black Titanium,44,Újszerű,2 év,97990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-6-2020-gps-cellular-titanium-44mm--space-black/75268884/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 8,Yes,No,Midnight Aluminium,45,Újszerű,2 év,96990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-8-2022-gps-aluminium-45mm--midnight/75268938/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 8,Yes,No,Red Aluminium,45,Újszerű,2 év,96990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-8-2022-gps-aluminium-45mm--red/75268941/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 7,Yes,Yes,Midnight Aluminium,45,Újszerű,2 év,95990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-cellular-aluminium-45mm--midnight/75268906/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 7,Yes,Yes,Starlight Aluminium,45,Kiváló,2 év,93990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-cellular-aluminium-45mm--starlight/75268905/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,Apple Watch Series 7,Yes,Yes,Blue Aluminium,45,Kiváló,2 év,93990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-cellular-aluminium-45mm--blue/75268907/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,Apple Watch Series 8,Yes,Yes,Red Aluminium,41,Nagyon jó,2 év,93990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-8-2022-gps-cellular-aluminium-41mm--red/75268923/?shape=Nagyon%20j%C3%B3
2025-02-09_12,Apple Watch Series 8,Yes,Yes,Starlight Aluminium,45,Jó,2 év,93990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-8-2022-gps-cellular-aluminium-45mm--starlight/75268932/?shape=J%C3%B3
2025-02-09_12,Apple Watch Series 6,Yes,Yes,Graphite Stainless Steel,44,Újszerű,2 év,92990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-6-2020-gps-cellular-stainless-steel-44mm--graphite/75268881/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 6,Yes,Yes,Gold Stainless Steel,44,Újszerű,2 év,92990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-6-2020-gps-cellular-stainless-steel-44mm--gold/75268882/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 7,Yes,Yes,Silver Stainless Steel,45,Kiváló,2 év,91990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-cellular-stainless-steel-45mm--silver/75268910/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,Apple Watch Series 7,Yes,Yes,Red Aluminium,41,Kiváló,2 év,90990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-cellular-aluminium-41mm--red/75268894/?shape=Kiv%C3%A1l%C3%B3
