Time,Title,Memory,Color,Status,Warranty,Price,Link
2025-02-09_12,"Apple iPad Pro 11"" 4th Gen (2022) Cellular",1 TB,Silver,Újszerű,2 év,505990,https://www.rejoy.hu/hu/shop/apple/tablet-apple-ipad-pro-11-4th-gen-2022-cellular-1tb-silver/75268303/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple iPad Pro 3 11.0"" (2021) 3rd Gen Wifi",2 TB,Silver,Újszerű,2 év,428990,https://www.rejoy.hu/hu/shop/apple/tablet-apple-ipad-pro-3-11-0-2021-3rd-gen-wifi-2tb-silver/75267873/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple iPad Pro 11"" 4th Gen (2022) Cellular",512 GB,Space Gray,Kiváló,2 év,411990,https://www.rejoy.hu/hu/shop/apple/tablet-apple-ipad-pro-11-4th-gen-2022-cellular-512gb-space-gray/75268307/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,"Apple iPad Pro 11"" 4th Gen (2022) Cellular",256 GB,Silver,Kiváló,2 év,397990,https://www.rejoy.hu/hu/shop/apple/tablet-apple-ipad-pro-11-4th-gen-2022-cellular-256gb-silver/75268301/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,"Apple iPad Pro 2 11.0"" (2020) 2nd Gen Cellular",1 TB,Space Gray,Nagyon jó,2 év,338990,https://www.rejoy.hu/hu/shop/apple/tablet-apple-ipad-pro-2-11-0-2020-2nd-gen-cellular-1tb-space-gray/75267762/?shape=Nagyon%20j%C3%B3
2025-02-09_12,"Apple iPad Pro 4 12.9"" (2020) 4th Gen Wifi",256 GB,Space Gray,Nagyon jó,2 év,303990,https://www.rejoy.hu/hu/shop/apple/tablet-apple-ipad-pro-4-12-9-2020-4th-gen-wifi-256gb-space-gray/75267804/?shape=Nagyon%20j%C3%B3
2025-02-09_12,"Apple iPad Pro 11"" 4th Gen (2022) Wifi",128 GB,Space Gray,Jó,2 év,275990,https://www.rejoy.hu/hu/shop/apple/tablet-apple-ipad-pro-11-4th-gen-2022-wifi-128gb-space-gray/75268275/?shape=J%C3%B3
2025-02-09_12,"Apple iPad mini 6 8.3"" (2021) 6th Gen Cellular",256 GB,Starlight,Nagyon jó,2 év,253990,https://www.rejoy.hu/hu/shop/apple/tablet-apple-ipad-mini-6-8-3-2021-6th-gen-cellular-256gb-starlight/75267730/?shape=Nagyon%20j%C3%B3
2025-02-09_12,"Apple iPad Pro 1 11.0"" (2018) 1st Gen Cellular",256 GB,Silver,Újszerű,2 év,220990,https://www.rejoy.hu/hu/shop/apple/tablet-apple-ipad-pro-1-11-0-2018-1st-gen-cellular-256gb-silver/75267744/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple iPad Pro 1 11.0"" (2018) 1st Gen Cellular",512 GB,Silver,Nagyon jó,2 év,215990,https://www.rejoy.hu/hu/shop/apple/tablet-apple-ipad-pro-1-11-0-2018-1st-gen-cellular-512gb-silver/75267745/?shape=Nagyon%20j%C3%B3
2025-02-09_12,"Apple iPad Pro 2 11.0"" (2020) 2nd Gen Wifi",128 GB,Space Gray,Kiváló,2 év,213990,https://www.rejoy.hu/hu/shop/apple/tablet-apple-ipad-pro-2-11-0-2020-2nd-gen-wifi-128gb-space-gray/75267767/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,"Apple iPad 10 (2022) 10.9"" 10th Gen Cellular",64 GB,Pink,Újszerű,2 év,203990,https://www.rejoy.hu/hu/shop/apple/tablet-apple-ipad-10-2022-10-9-10th-gen-cellular-64gb-pink/75267845/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple iPad 10 (2022) 10.9"" 10th Gen Cellular",64 GB,Silver,Újszerű,2 év,203990,https://www.rejoy.hu/hu/shop/apple/tablet-apple-ipad-10-2022-10-9-10th-gen-cellular-64gb-silver/75267847/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple iPad 10 (2022) 10.9"" 10th Gen Cellular",64 GB,Yellow,Újszerű,2 év,203990,https://www.rejoy.hu/hu/shop/apple/tablet-apple-ipad-10-2022-10-9-10th-gen-cellular-64gb-yellow/75267849/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple iPad mini 6 8.3"" (2021) 6th Gen Cellular",64 GB,Space Gray,Újszerű,2 év,192990,https://www.rejoy.hu/hu/shop/apple/tablet-apple-ipad-mini-6-8-3-2021-6th-gen-cellular-64gb-space-gray/75267723/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple iPad mini 6 8.3"" (2021) 6th Gen Cellular",64 GB,Pink,Nagyon jó,2 év,179990,https://www.rejoy.hu/hu/shop/apple/tablet-apple-ipad-mini-6-8-3-2021-6th-gen-cellular-64gb-pink/75267725/?shape=Nagyon%20j%C3%B3
2025-02-09_12,"Apple iPad Pro 1 11.0"" (2018) 1st Gen Cellular",64 GB,Space Gray,Nagyon jó,2 év,172990,https://www.rejoy.hu/hu/shop/apple/tablet-apple-ipad-pro-1-11-0-2018-1st-gen-cellular-64gb-space-gray/75267739/?shape=Nagyon%20j%C3%B3
2025-02-09_12,"Apple iPad Pro 1 11.0"" (2018) 1st Gen Wifi",64 GB,Space Gray,Kiváló,2 év,165990,https://www.rejoy.hu/hu/shop/apple/tablet-apple-ipad-pro-1-11-0-2018-1st-gen-wifi-64gb-space-gray/75267751/?shape=Kiv%C3%A1l%C3%B3
